target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_SHOULDER,densenet121,zero-shot,0,0,0.6017291430013884,0.460431654676259,0.6947368421052632,
XR_SHOULDER,densenet121,vanilla_ft,50,avg,0.6665383482687534,0.4100719424460431,0.8444444444444444,0.024785135919523197
XR_SHOULDER,densenet121,ft_source_reg,50,avg,0.6641865455004418,0.40647482014388486,0.8350877192982455,0.02537556520041712
XR_SHOULDER,densenet121,mkmmd,50,avg,0.6219150994993479,0.44724220623501204,0.7660818713450293,0.021122620291684834
XR_SHOULDER,densenet121,coral,50,avg,0.627609491354285,0.48321342925659466,0.7356725146198829,0.007835917630718
XR_SHOULDER,densenet121,cc_dann,50,avg,0.6133577348647398,0.5839328537170264,0.5707602339181287,0.010850528569727402
XR_SHOULDER,densenet121,vanilla_ft,100,avg,0.7095797046573269,0.4940047961630696,0.7871345029239766,0.02350367812964248
XR_SHOULDER,densenet121,ft_source_reg,100,avg,0.7191173377087804,0.5299760191846522,0.7871345029239766,0.02953442658935285
XR_SHOULDER,densenet121,mkmmd,100,avg,0.6259350414405317,0.5623501199040767,0.6573099415204678,0.008191400546261118
XR_SHOULDER,densenet121,coral,100,avg,0.59282679119862,0.52757793764988,0.6163742690058479,0.01750421027981353
XR_SHOULDER,densenet121,cc_dann,100,avg,0.5920063948840928,0.5323741007194244,0.6280701754385966,0.031765748597182786
XR_SHOULDER,densenet121,vanilla_ft,200,avg,0.7060435861836846,0.6498800959232613,0.6315789473684211,0.019230462784080627
XR_SHOULDER,densenet121,ft_source_reg,200,avg,0.7064432664394799,0.6534772182254196,0.6339181286549708,0.02443505015435078
XR_SHOULDER,densenet121,mkmmd,200,avg,0.6230447221170432,0.5071942446043166,0.6947368421052632,0.008605858304312135
XR_SHOULDER,densenet121,coral,200,avg,0.6028671799402583,0.5191846522781774,0.6514619883040935,0.004321957118282593
XR_SHOULDER,densenet121,cc_dann,200,avg,0.5754827716773949,0.5899280575539568,0.5181286549707602,0.028112807248575615
XR_SHOULDER,densenet121,vanilla_ft,500,avg,0.7691552021540663,0.724220623501199,0.6736842105263158,0.0046869855481774065
XR_SHOULDER,densenet121,ft_source_reg,500,avg,0.7585594682149018,0.7062350119904076,0.6713450292397661,0.005304568024331561
XR_SHOULDER,densenet121,mkmmd,500,avg,0.6250178804324963,0.4712230215827338,0.7321637426900584,0.008023471643245588
XR_SHOULDER,densenet121,coral,500,avg,0.6045837014598847,0.5095923261390887,0.6842105263157894,0.01336939288790023
XR_SHOULDER,densenet121,cc_dann,500,avg,0.6327043628255291,0.3920863309352518,0.7976608187134503,0.045470422812811426
