target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_SHOULDER,zero-shot,0,0,0.6017291430013884,0.460431654676259,0.6947368421052632,
XR_SHOULDER,fine-tune,50,avg,0.6665383482687534,0.4100719424460431,0.8444444444444444,0.024785135919523197
XR_SHOULDER,DANN,50,avg,0.59379233455341,0.592326139088729,0.5251461988304094,0.0018772117646153226
XR_SHOULDER,MMD,50,avg,0.637868652446464,0.5347721822541965,0.7099415204678362,0.003963715789266024
XR_SHOULDER,fine-tune,100,avg,0.7118894358197654,0.4784172661870503,0.8198830409356725,0.025702669654617368
XR_SHOULDER,DANN,100,avg,0.5734465059531323,0.5659472422062349,0.5707602339181287,0.018841298860586036
XR_SHOULDER,MMD,100,avg,0.634275737304893,0.5023980815347722,0.7333333333333334,0.012784259286092359
XR_SHOULDER,fine-tune,200,avg,0.7338886785308595,0.6211031175059952,0.7309941520467836,0.01834690805135549
XR_SHOULDER,DANN,200,avg,0.5473242458664648,0.4988009592326139,0.5777777777777778,0.014364871899042139
XR_SHOULDER,MMD,200,avg,0.6275716269089991,0.5551558752997602,0.6795321637426901,0.005858898993864297
XR_SHOULDER,fine-tune,500,avg,0.7688585973326602,0.7290167865707433,0.6795321637426901,0.004673336440245458
XR_SHOULDER,DANN,500,avg,0.662768732382515,0.4520383693045564,0.7988304093567251,0.024913657451223745
XR_SHOULDER,MMD,500,avg,0.6015924102823004,0.4376498800959232,0.7087719298245614,0.00698581311274429
