target,arch,method,n_samples,ece_post_da,ece_post_da_after_ts,post_da_temperature,ece_reduction_pct
XR_HAND,densenet121,vanilla_ft,50,0.1959579130877619,0.05748189428578252,3.212614059448242,70.66620409452992
XR_HAND,densenet121,ft_source_reg,50,0.1940303771392159,0.04842702824136485,3.1457743644714355,75.04152238666283
XR_HAND,densenet121,mkmmd,50,0.25566299752048816,0.06772084767403808,5.064945220947266,73.51167422316908
XR_HAND,densenet121,coral,50,0.27179652128530585,0.059690805233043175,5.441382884979248,78.03842192285254
XR_HAND,densenet121,cc_dann,50,0.1921933833671653,0.05920961564001829,3.2704977989196777,69.19268780085706
XR_HAND,densenet121,vanilla_ft,100,0.20358316859473355,0.0644915908575058,3.4720406532287598,68.32174717454804
XR_HAND,densenet121,ft_source_reg,100,0.21932497335516887,0.050993820895319376,3.6916894912719727,76.74965138933752
XR_HAND,densenet121,mkmmd,100,0.24654773266419122,0.05037040088487709,4.965119361877441,79.56971644371852
XR_HAND,densenet121,coral,100,0.2523075294235478,0.06537797023420748,4.914957523345947,74.08798287408311
XR_HAND,densenet121,cc_dann,100,0.2319283192572386,0.06137081864087478,4.459120750427246,73.53888527394251
XR_HAND,densenet121,vanilla_ft,200,0.19849078111026597,0.04903428917345795,3.25288987159729,75.29644001641651
XR_HAND,densenet121,ft_source_reg,200,0.18998409613319067,0.0834247025458709,3.439241886138916,56.08858623229969
XR_HAND,densenet121,mkmmd,200,0.24795618666254954,0.05377813240756161,5.136596202850342,78.31143754410542
XR_HAND,densenet121,coral,200,0.2424950222606244,0.08336891272793646,4.8863935470581055,65.62036121370987
XR_HAND,densenet121,cc_dann,200,0.2552619402823241,0.07281466165314551,5.520648956298828,71.47453256344787
XR_HAND,densenet121,vanilla_ft,500,0.16949377617110378,0.059804912235425875,3.0095696449279785,64.71557033748964
XR_HAND,densenet121,ft_source_reg,500,0.1765072646348373,0.04198732389056163,3.1848740577697754,76.21212703203685
XR_HAND,densenet121,mkmmd,500,0.25949709557968637,0.038560865106789965,5.511101245880127,85.14015541459165
XR_HAND,densenet121,coral,500,0.23709689611973975,0.05608844886655393,4.948493957519531,76.34365958201836
XR_HAND,densenet121,cc_dann,500,0.23099457673404533,0.06435462443724922,5.039423942565918,72.14020114795005
