target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_HAND,densenet121,zero-shot,0,0,0.7069056404849762,0.31746031746031744,0.933579335793358,
XR_HAND,densenet121,vanilla_ft,50,avg,0.732778200797881,0.39858906525573196,0.8745387453874538,0.012151298185741986
XR_HAND,densenet121,ft_source_reg,50,avg,0.7305427022524195,0.3897707231040564,0.881918819188192,0.01388064363509121
XR_HAND,densenet121,mkmmd,50,avg,0.7260261491503804,0.29982363315696653,0.953259532595326,0.009776417808575258
XR_HAND,densenet121,coral,50,avg,0.7063687303539702,0.3509700176366843,0.928659286592866,0.00959505355209171
XR_HAND,densenet121,cc_dann,50,avg,0.7507044911718959,0.5590828924162258,0.8105781057810577,0.0122429270699522
XR_HAND,densenet121,vanilla_ft,100,avg,0.7340765471146775,0.38447971781305107,0.9089790897908979,0.023548025001141993
XR_HAND,densenet121,ft_source_reg,100,avg,0.7223784142603331,0.37213403880070545,0.9163591635916358,0.022715994258319973
XR_HAND,densenet121,mkmmd,100,avg,0.7418861490202202,0.38095238095238093,0.902829028290283,0.016682490600184112
XR_HAND,densenet121,coral,100,avg,0.7176731291122436,0.3333333333333333,0.9249692496924968,0.0017100509480215765
XR_HAND,densenet121,cc_dann,100,avg,0.7380008720722128,0.5784832451499118,0.7761377613776138,0.017856899131546578
XR_HAND,densenet121,vanilla_ft,200,avg,0.7467508802072148,0.4761904761904762,0.8733087330873309,0.013885373115761553
XR_HAND,densenet121,ft_source_reg,200,avg,0.7465361161548123,0.4444444444444444,0.8843788437884378,0.019726576763413974
XR_HAND,densenet121,mkmmd,200,avg,0.7346329812504475,0.3932980599647266,0.9114391143911439,0.021689153143849452
XR_HAND,densenet121,coral,200,avg,0.7285903017760337,0.34215167548500885,0.923739237392374,0.003969390170979338
XR_HAND,densenet121,cc_dann,200,avg,0.7106217093916971,0.5696649029982362,0.7552275522755227,0.011781612164585824
XR_HAND,densenet121,vanilla_ft,500,avg,0.7884639163851954,0.47266313932980597,0.918819188191882,0.0028732071542029356
XR_HAND,densenet121,ft_source_reg,500,avg,0.7869573140175845,0.4638447971781305,0.9138991389913899,0.01604384291251539
XR_HAND,densenet121,mkmmd,500,avg,0.7322575606708449,0.5132275132275131,0.8376383763837638,0.008384747453538054
XR_HAND,densenet121,coral,500,avg,0.7334192389542943,0.42857142857142855,0.8806888068880688,0.007336563165084552
XR_HAND,densenet121,cc_dann,500,avg,0.7423124231242313,0.5167548500881834,0.8167281672816729,0.014085097956582183
