arch,anatomy,mean_auc,std_auc,n_seeds
densenet121,XR_WRIST,0.882535853976532,0.010393100140946422,5
densenet121,XR_ELBOW,0.782527289546716,0.013489510529503491,5
densenet121,XR_HAND,0.7015502059782504,0.03176641589936003,5
densenet121,XR_SHOULDER,0.5871058942319828,0.02929794561238876,5
densenet121,XR_FINGER,0.7538253433728102,0.031210742968688327,5
densenet121,XR_FOREARM,0.8137704194260487,0.03237871811516448,5
densenet121,XR_HUMERUS,0.7894932432432432,0.026694309939046836,5
resnet50,XR_WRIST,0.8825256099832371,0.0037784584782209916,5
resnet50,XR_ELBOW,0.7766327474560593,0.04014449824129968,5
resnet50,XR_HAND,0.6763017630176301,0.018288713761484866,5
resnet50,XR_SHOULDER,0.5958853969456015,0.03337138036952568,5
resnet50,XR_FINGER,0.68246812213856,0.0361331140998635,5
resnet50,XR_FOREARM,0.8015099337748344,0.01795624991751868,5
resnet50,XR_HUMERUS,0.8007191119691118,0.033439274881119474,5
swin_t,XR_WRIST,0.8835658409387224,0.003355448008262541,5
swin_t,XR_ELBOW,0.8253746530989824,0.012855346722718807,5
swin_t,XR_HAND,0.7408481227669419,0.003730525932346295,5
swin_t,XR_SHOULDER,0.5943455761706423,0.014710018881134383,5
swin_t,XR_FINGER,0.7926236331302736,0.00926883029991643,5
swin_t,XR_FOREARM,0.8605386313465783,0.019848799589845787,5
swin_t,XR_HUMERUS,0.7825048262548263,0.027019312536620026,5
