target,arch,method,n_samples,ece_post_da,ece_post_da_after_ts,post_da_temperature,ece_reduction_pct
XR_ELBOW,resnet50,vanilla_ft,50,0.22784723684351932,0.04615487334548786,4.061007499694824,79.74306206873774
XR_ELBOW,resnet50,ft_source_reg,50,0.20948985520229546,0.05444607209133845,3.6124112606048584,74.01016290800231
XR_ELBOW,resnet50,mkmmd,50,0.2335762680217784,0.06790232222567325,4.06289005279541,70.92927171036824
XR_ELBOW,resnet50,coral,50,0.16357929501482235,0.04114987901462021,3.2999207973480225,74.84407851807192
XR_ELBOW,resnet50,cc_dann,50,0.1508774311311783,0.045574187719693744,2.875153064727783,69.7939000034605
XR_ELBOW,resnet50,vanilla_ft,100,0.16571728401286628,0.04636207857439594,2.6399335861206055,72.02338980477353
XR_ELBOW,resnet50,ft_source_reg,100,0.15555359945502328,0.03994664146054176,2.5513737201690674,74.31969327582681
XR_ELBOW,resnet50,mkmmd,100,0.1639860845381214,0.060375512799909055,3.034963369369507,63.18253895142322
XR_ELBOW,resnet50,coral,100,0.1663752249492112,0.05523655773490986,3.107710838317871,66.80001018675001
XR_ELBOW,resnet50,cc_dann,100,0.17964759616441622,0.05281971154674408,3.7045624256134033,70.59815289796437
XR_ELBOW,resnet50,vanilla_ft,200,0.13925949155643425,0.059274252512121706,2.3132119178771973,57.43611307951595
XR_ELBOW,resnet50,ft_source_reg,200,0.11300275453957177,0.05518585776769987,1.9811837673187256,51.16414817271144
XR_ELBOW,resnet50,mkmmd,200,0.20878096947105984,0.03854279492491037,3.8380589485168457,81.53912446016639
XR_ELBOW,resnet50,coral,200,0.229174707781884,0.03821134528806134,4.459917068481445,83.32654346638077
XR_ELBOW,resnet50,cc_dann,200,0.15405168328233942,0.05122133801060338,3.1417441368103027,66.750549608259
XR_ELBOW,resnet50,vanilla_ft,500,0.15351596506693027,0.036335759009084395,2.657383918762207,76.33095750448975
XR_ELBOW,resnet50,ft_source_reg,500,0.13372363569915938,0.06036855905286727,2.277634859085083,54.85573007551218
XR_ELBOW,resnet50,mkmmd,500,0.18039188667010234,0.03656709950457338,3.6151680946350098,79.7290775214039
XR_ELBOW,resnet50,coral,500,0.19996408506106308,0.04438210584784068,4.12672233581543,77.80496140880115
XR_ELBOW,resnet50,cc_dann,500,0.14521208091448712,0.0509867537406183,2.5103249549865723,64.88807720437289
