Anatomy,AUC,Accuracy,Transfer Type
XR_WRIST,0.8793443844291302,0.8376327769347496,Source
XR_ELBOW,0.7482331174838113,0.6817204301075269,Target
XR_HAND,0.7218024561197992,0.6391304347826087,Target
XR_SHOULDER,0.5818629307080652,0.5293072824156305,Target
XR_FINGER,0.7844602519959135,0.631236442516269,Target
