frozen_layers,frozen_percentage,trainable_params,total_params,auc,accuracy
0,0.0,6954881,6954881,0.827881591119334,0.7612903225806451
90,24.861878453038674,6030465,6954881,0.782358926919519,0.7311827956989247
181,50.0,4559041,6954881,0.7868640148011101,0.7139784946236559
271,74.86187845303867,2056929,6954881,0.7921369102682702,0.7139784946236559
362,100.0,1025,6954881,0.798945420906568,0.7247311827956989
