anatomy_pair,intra_distance,inter_distance,distance_ratio
XR_WRIST ↔ XR_ELBOW,27.12044549346351,25.721558647948992,0.9484194739407332
XR_WRIST ↔ XR_HAND,27.12044549346351,28.753459089026695,1.0602133765080213
XR_WRIST ↔ XR_SHOULDER,27.12044549346351,24.912440100282122,0.9185852093132632
XR_WRIST ↔ XR_FINGER,27.12044549346351,26.130781220214132,0.9635085539620688
XR_ELBOW ↔ XR_HAND,21.549105797922447,29.42076649871276,1.3652894358869043
XR_ELBOW ↔ XR_SHOULDER,21.549105797922447,20.320200997901836,0.9429718888781413
XR_ELBOW ↔ XR_FINGER,21.549105797922447,24.918621749345697,1.1563645370263163
XR_HAND ↔ XR_SHOULDER,21.334613077004562,29.970363350599005,1.4047765123475549
XR_HAND ↔ XR_FINGER,21.334613077004562,23.759085999402327,1.1136403511817599
XR_SHOULDER ↔ XR_FINGER,17.19434750908047,24.506441236920924,1.4252614834019657
