n_samples,auc,accuracy
10,0.7028492136910269,0.6172043010752688
25,0.7752636447733581,0.7268817204301076
50,0.846327474560592,0.7935483870967742
100,0.8041258094357077,0.7311827956989247
200,0.8465864939870491,0.7935483870967742
500,0.8443478260869566,0.7913978494623656
