anatomy,total_fractures,false_negatives,fn_rate,high_conf_fn,avg_confidence
XR_WRIST,295,77,26.101694915254235,70,0.41620933893439055
XR_ELBOW,230,53,23.043478260869566,45,0.40255495343568193
XR_HAND,189,160,84.65608465608466,155,0.4707718681544065
XR_SHOULDER,278,79,28.41726618705036,57,0.322206374587892
XR_FINGER,247,160,64.77732793522267,141,0.4142037559300661
