target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_ELBOW,zero-shot,0,0,0.74368177613321,0.7304347826086957,0.6,
XR_ELBOW,fine-tune,50,avg,0.8162873882207832,0.7289855072463768,0.7659574468085105,0.04050867537424069
XR_ELBOW,DANN,50,avg,0.8006999691643539,0.7855072463768117,0.6581560283687944,0.01040221585502025
XR_ELBOW,MMD,50,avg,0.7867252543940796,0.7521739130434782,0.7035460992907802,0.014681479615685084
XR_ELBOW,fine-tune,100,avg,0.808504471168671,0.6753623188405796,0.7886524822695037,0.033003613327343695
XR_ELBOW,DANN,100,avg,0.8211625038544558,0.7608695652173912,0.7276595744680852,0.0022631809730175507
XR_ELBOW,MMD,100,avg,0.7800246685168054,0.7173913043478262,0.7219858156028369,0.007676776685829807
XR_ELBOW,fine-tune,200,avg,0.8411532531606537,0.6840579710144928,0.8723404255319149,0.014944197991719211
XR_ELBOW,DANN,200,avg,0.8204779525131052,0.7652173913043478,0.7219858156028369,0.011982778855003049
XR_ELBOW,MMD,200,avg,0.7697317298797411,0.8014492753623189,0.5872340425531916,0.005584600253247081
XR_ELBOW,fine-tune,500,avg,0.8596700585877274,0.6855072463768117,0.9078014184397163,0.0013524656353344658
XR_ELBOW,DANN,500,avg,0.7704162812210914,0.6971014492753623,0.6964539007092198,0.023363862330115618
XR_ELBOW,MMD,500,avg,0.7686154794942954,0.8159420289855074,0.5475177304964539,0.005348417688632941
