arch,anatomy,auc_mc,mean_uncertainty,unc_correct,unc_error,uncertainty_gap_ratio,acc_cov50,acc_cov70,acc_cov90
resnet50,XR_WRIST,0.8784457068355374,0.0001902202533895686,0.00014335218272744436,0.00038464951527697466,2.683248402351216,0.9240121580547113,0.8806941431670282,0.8279932546374368
resnet50,XR_ELBOW,0.7433302497687327,0.0003599834747160867,0.0002880800212392857,0.0005024076229489812,1.7439863437515863,0.7413793103448276,0.7384615384615385,0.6794258373205742
resnet50,XR_HAND,0.6562115621156211,0.00033416711201813225,0.0002868788019536048,0.00042455362872374796,1.479905889987677,0.7086956521739131,0.7080745341614907,0.6666666666666666
resnet50,XR_SHOULDER,0.5423261390887291,0.000545444777374473,0.0005385510141947046,0.0005536529156352089,1.0280417287173549,0.5765124555160143,0.5380710659898477,0.541501976284585
resnet50,XR_FINGER,0.6728782776495517,0.00033219629029173714,0.0003295975700822977,0.00033652248347276927,1.0210102076563927,0.6347826086956522,0.6273291925465838,0.6280193236714976
resnet50,XR_FOREARM,0.8211479028697571,0.00032585921845361757,0.00023074713805796483,0.0005886063405466081,2.5508716836121597,0.8333333333333334,0.8095238095238095,0.7592592592592593
resnet50,XR_HUMERUS,0.8072393822393823,0.00035908663001418036,0.0002949446233149702,0.0005626677817116734,1.9077065226268004,0.8541666666666666,0.8109452736318408,0.7837837837837838
