anatomy,total_fractures,false_negatives,fn_rate,high_conf_fn,high_conf_fn_pct
XR_WRIST,1475,381,25.83050847457627,345,90.5511811023622
XR_ELBOW,1150,271,23.565217391304348,210,77.49077490774908
XR_HAND,945,638,67.51322751322752,582,91.22257053291536
XR_SHOULDER,1390,305,21.942446043165468,237,77.70491803278688
XR_FINGER,1235,631,51.093117408906885,549,87.00475435816165
