anatomy,ece,high_conf_error_rate,auc
XR_WRIST,0.4997878919754728,0.13050075872534142,0.879078971875582
XR_ELBOW,0.4037803127404092,0.2752688172043011,0.7600370027752081
XR_HAND,0.5411115623465464,0.27391304347826084,0.7160233507096975
XR_SHOULDER,0.428651633377656,0.41563055062166965,0.5470655054903446
XR_FINGER,0.38352924007143147,0.2299349240780911,0.7816602974005826
