target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_SHOULDER,zero-shot,0,0,0.5427615802095166,0.4244604316546763,0.6631578947368421,
XR_SHOULDER,fine-tune,50,avg,0.6517270394210947,0.473621103117506,0.7497076023391812,0.027675430816000393
XR_SHOULDER,DANN,50,avg,0.588356683074593,0.49760191846522783,0.623391812865497,0.013481739593327739
XR_SHOULDER,MMD,50,avg,0.5498590601203248,0.4112709832134293,0.6502923976608187,0.021868397422713633
XR_SHOULDER,fine-tune,100,avg,0.6961777946064203,0.4448441247002399,0.8245614035087719,0.050603985594231286
XR_SHOULDER,DANN,100,avg,0.60839749253229,0.49040767386091133,0.6514619883040935,0.004984783165513668
XR_SHOULDER,MMD,100,avg,0.5477702048887206,0.42685851318944845,0.6280701754385966,0.016660472525346
XR_SHOULDER,fine-tune,200,avg,0.7385754554251335,0.6678657074340527,0.6760233918128655,0.006408383272271153
XR_SHOULDER,DANN,200,avg,0.6274811729563717,0.47721822541966424,0.7111111111111111,0.011331581899274292
XR_SHOULDER,MMD,200,avg,0.58825150405991,0.5455635491606715,0.5660818713450292,0.00594483924041646
XR_SHOULDER,fine-tune,500,avg,0.78580293659809,0.7086330935251799,0.7345029239766082,0.007967538559246635
XR_SHOULDER,DANN,500,avg,0.6490323530649165,0.5035971223021583,0.7169590643274854,0.02054790690443312
XR_SHOULDER,MMD,500,avg,0.6067041103958939,0.577937649880096,0.5684210526315789,0.00778825597565769
