arch,anatomy,zero_shot_auc,dist_ratio,temperature,gap_ratio,da_gain,dist_ratio_norm,temperature_norm,gap_ratio_norm,composite_equal,composite_varwt
densenet121,XR_ELBOW,0.782527289546716,0.29391605131903786,3.501021146774292,2.134531260624736,0.09152944804193652,0.38180767270514854,0.21331951203650845,0.7042679540012026,0.4331317129142865,0.427538000307427
densenet121,XR_HAND,0.7015502059782504,0.3659878542692738,4.63215446472168,1.3984296741593314,0.08155827590021925,0.6406214393234264,0.37451607736564785,0.2387062505604972,0.4179479224165239,0.42566302312182036
densenet121,XR_SHOULDER,0.5871058942319828,0.4337240430667794,6.653773784637451,1.451985881222991,0.16742605915267794,0.8838657795705276,0.662614823643238,0.2725789108683043,0.6063531713606899,0.6178009755318846
densenet121,XR_FINGER,0.7538253433728102,0.24235337711717278,4.435825347900391,1.6718530722027498,,0.1966433035508159,0.3465374308139536,0.41163817367301797,0.3182729693459292,0.31413418199812293
densenet121,XR_FOREARM,0.8137704194260487,0.25611540814171585,4.555410385131836,1.4877398372552622,,0.24606350590427917,0.36357936297226606,0.29519219275926856,0.30161168721193793,0.3005359759560932
densenet121,XR_HUMERUS,0.7894932432432432,0.3557554120072025,4.015186786651611,2.1817801757830977,,0.6038761822999644,0.2865926919910027,0.7341514453987396,0.5415401065632356,0.5396691827946146
resnet50,XR_ELBOW,0.7766327474560593,0.29739925614085017,3.7383008003234863,1.7439863437515863,0.12428307123034243,0.3943160507799784,0.2471339745474583,0.45726025817127713,0.366236761166238,0.3653232516928483
resnet50,XR_HAND,0.6763017630176301,0.37218596440440244,5.186522960662842,1.479905889987677,0.09125194426547456,0.6628791901264027,0.4535185221301233,0.2902374611004569,0.4688783911189944,0.47597324909314065
resnet50,XR_SHOULDER,0.5958853969456015,0.36148586115075737,8.169180870056152,1.0280417287173549,0.2379969708443771,0.624454537031592,0.8785738210213866,0.004447221664933328,0.5024918599059707,0.513356117368677
resnet50,XR_FINGER,0.68246812213856,0.2505828787793459,6.771818161010742,1.0210102076563927,,0.22619589187789096,0.6794371979167891,0.0,0.30187769659822666,0.3052785817678947
resnet50,XR_FOREARM,0.8015099337748344,0.2707151825107213,3.5123648643493652,2.5508716836121597,,0.2984920901985884,0.21493609275440634,0.9675905172196674,0.4936729000575541,0.48165082029268497
resnet50,XR_HUMERUS,0.8007191119691118,0.3475919021958357,3.374631881713867,1.9077065226268004,,0.5745605743004812,0.1953079168523214,0.5608082558474701,0.4435589156667576,0.44440060858119357
swin_t,XR_ELBOW,0.8253746530989824,0.3098072326850636,2.799656629562378,1.8494205548404257,0.015377736663583108,0.4388737698054965,0.11336882591981741,0.5239441667757234,0.3587289208336791,0.3576918613069877
swin_t,XR_HAND,0.7408481227669419,0.33140478137417895,2.9347217082977295,1.6556145214595401,-0.011024554689991306,0.5164317425096231,0.1326168017707605,0.4013677877854957,0.3501387773552931,0.3528276617858066
swin_t,XR_SHOULDER,0.5943455761706423,0.466063909527272,9.021241188049316,1.1476137093404246,0.11434431402246636,1.0,1.0,0.08007283639830363,0.6933576121327678,0.7100657743674647
swin_t,XR_FINGER,0.7926236331302736,0.22654991997073545,2.703035593032837,1.5063092681894301,,0.139892228897055,0.099599468249966,0.30693678896255644,0.18214282870319246,0.1791717713028273
swin_t,XR_FOREARM,0.8605386313465783,0.18759416700954107,2.0041356086730957,2.6021144544732824,,0.0,0.0,1.0,0.3333333333333333,0.31517084950224283
swin_t,XR_HUMERUS,0.7825048262548263,0.320718541217152,4.264768123626709,1.5658015920264634,,0.4780568725492125,0.3221602538798583,0.3445638612804029,0.3815936625698246,0.38426154208188296
