target,arch,method,n_samples,ece_post_da,ece_post_da_after_ts,post_da_temperature,ece_reduction_pct
XR_ELBOW,swin_t,vanilla_ft,50,0.1452563173027449,0.04335161383434008,2.540393829345703,70.15509229523825
XR_ELBOW,swin_t,ft_source_reg,50,0.12164166230027396,0.04897391180838308,2.1499433517456055,59.73919553360726
XR_ELBOW,swin_t,mkmmd,50,0.1608766633977172,0.06877024930010557,2.3513052463531494,57.25281228011756
XR_ELBOW,swin_t,coral,50,0.08722684614119994,0.04558226254678541,1.7252358198165894,47.74285146914708
XR_ELBOW,swin_t,cc_dann,50,0.2298458075010648,0.051358591869313235,3.6904711723327637,77.65519744401894
XR_ELBOW,swin_t,vanilla_ft,100,0.1364791145888708,0.05030873270444972,2.80342960357666,63.13814545470964
XR_ELBOW,swin_t,ft_source_reg,100,0.17044745978488715,0.04128198021201676,3.5557894706726074,75.78023147771367
XR_ELBOW,swin_t,mkmmd,100,0.14397310877359037,0.059534274762676594,2.512540340423584,58.64903156581889
XR_ELBOW,swin_t,coral,100,0.16293245207878854,0.04509085378339215,2.720486879348755,72.32543105557157
XR_ELBOW,swin_t,cc_dann,100,0.3184883770122323,0.1557517916925492,5.159523010253906,51.096553929637686
XR_ELBOW,swin_t,vanilla_ft,200,0.13289220884282105,0.05421209796782464,2.8989596366882324,59.20596215543058
XR_ELBOW,swin_t,ft_source_reg,200,0.15518229340994233,0.061752809760391075,3.0742740631103516,60.20627843328764
XR_ELBOW,swin_t,mkmmd,200,0.20311771246694746,0.0761741465137851,4.086360931396484,62.4975362371804
XR_ELBOW,swin_t,coral,200,0.15682150445958618,0.04156482347878078,2.9981863498687744,73.49545674745629
XR_ELBOW,swin_t,cc_dann,200,0.11713189668552848,0.04388208735373711,2.636573076248169,62.53617622913581
XR_ELBOW,swin_t,vanilla_ft,500,0.1647577498548774,0.048950683045130915,3.721890449523926,70.28929862889736
XR_ELBOW,swin_t,ft_source_reg,500,0.17300635537793557,0.04952706380556988,3.8556413650512695,71.37269107982935
XR_ELBOW,swin_t,mkmmd,500,0.1783900473707466,0.03828928842339463,3.5513598918914795,78.5361969528388
XR_ELBOW,swin_t,coral,500,0.1902655150300713,0.05540449234747118,4.09194278717041,70.8804339353274
XR_ELBOW,swin_t,cc_dann,500,0.20396977752767587,0.12659988582775156,3.4755284786224365,37.93203710752015
