target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_ELBOW,swin_t,zero-shot,0,0,0.8397594819611471,0.8565217391304348,0.5319148936170213,
XR_ELBOW,swin_t,vanilla_ft,50,avg,0.8238544557508479,0.6115942028985507,0.9163120567375888,0.009239772564474738
XR_ELBOW,swin_t,ft_source_reg,50,avg,0.8354270736971939,0.5884057971014492,0.9120567375886525,0.00975270989638677
XR_ELBOW,swin_t,mkmmd,50,avg,0.8298643231575701,0.6492753623188405,0.8950354609929078,0.00419341431574777
XR_ELBOW,swin_t,coral,50,avg,0.8177952513105149,0.7376811594202898,0.7049645390070921,0.01425130821647617
XR_ELBOW,swin_t,cc_dann,50,avg,0.8162072155411657,0.39565217391304347,0.9801418439716311,0.00871855520397842
XR_ELBOW,swin_t,vanilla_ft,100,avg,0.8472525439407956,0.672463768115942,0.873758865248227,0.007578710526637874
XR_ELBOW,swin_t,ft_source_reg,100,avg,0.8486185630588962,0.6594202898550724,0.8921985815602836,0.012960492366806879
XR_ELBOW,swin_t,mkmmd,100,avg,0.8232038236201049,0.6260869565217392,0.8808510638297872,0.012034988699985467
XR_ELBOW,swin_t,coral,100,avg,0.8174375578168362,0.6623188405797101,0.849645390070922,0.010106204102168748
XR_ELBOW,swin_t,cc_dann,100,avg,0.807027443724946,0.9565217391304347,0.1773049645390071,0.015526696077020053
XR_ELBOW,swin_t,vanilla_ft,200,avg,0.835886524822695,0.7202898550724637,0.826950354609929,0.024254501006569357
XR_ELBOW,swin_t,ft_source_reg,200,avg,0.8457786000616713,0.6985507246376811,0.8723404255319149,0.005832635597929274
XR_ELBOW,swin_t,mkmmd,200,avg,0.8182577860006167,0.6405797101449275,0.9049645390070923,0.010528964871035228
XR_ELBOW,swin_t,coral,200,avg,0.8423034227567067,0.7115942028985507,0.8312056737588653,0.003844647403282924
XR_ELBOW,swin_t,cc_dann,200,avg,0.6872432932469934,0.727536231884058,0.31631205673758866,0.03226029382106108
XR_ELBOW,swin_t,vanilla_ft,500,avg,0.8551372186247302,0.7000000000000001,0.8652482269503546,0.018670216951604052
XR_ELBOW,swin_t,ft_source_reg,500,avg,0.8482824545174221,0.6376811594202899,0.9290780141843972,0.009704021401231763
XR_ELBOW,swin_t,mkmmd,500,avg,0.8360160345359237,0.7101449275362319,0.8283687943262411,0.011852526015774825
XR_ELBOW,swin_t,coral,500,avg,0.8319611470860315,0.7231884057971015,0.8070921985815603,0.004614436716345584
XR_ELBOW,swin_t,cc_dann,500,avg,0.7302898550724638,0.03333333333333333,0.9985815602836879,0.009430676902020646
