anatomy,ece,mce,n_predictions
XR_WRIST,0.14108666823962485,0.36260237574577336,3295
XR_ELBOW,0.2606893462063178,0.46074351455484114,2325
XR_HAND,0.2799582346589148,0.31357373093089014,2300
XR_SHOULDER,0.3691543976176247,0.4432356324828942,2815
XR_FINGER,0.2965813863005654,0.43570934755857604,2305
