anatomy,mean_cam_fracture,mean_cam_normal,centrality_fracture,centrality_normal
XR_WRIST,0.17865050435066224,0.1770186245441437,0.8296699963513661,0.651924536492497
XR_ELBOW,0.2254859209060669,0.12040999978780746,0.7647247368664182,0.7665044653161643
XR_HAND,0.22295826077461242,0.1389746695756912,0.7519551580428717,0.5726407332052761
XR_SHOULDER,0.26695377826690675,0.2484356641769409,0.8899893698233493,0.8106085187958672
XR_FINGER,0.15293436944484712,0.12639290876686574,0.6059668875547495,0.5135480502078156
