target,arch,method,n_samples,ece_post_da,ece_post_da_after_ts,post_da_temperature,ece_reduction_pct
XR_SHOULDER,swin_t,vanilla_ft,50,0.20496089854418276,0.050923095714982415,3.5041444301605225,75.15472654702229
XR_SHOULDER,swin_t,ft_source_reg,50,0.1840892069928388,0.048530838311671355,3.201061248779297,73.63732556381795
XR_SHOULDER,swin_t,mkmmd,50,0.28029612929528813,0.0415262356532827,5.73029088973999,85.18487010231405
XR_SHOULDER,swin_t,coral,50,0.3074004795157465,0.055957103283748304,7.213508129119873,81.79667664412933
XR_SHOULDER,swin_t,cc_dann,50,0.38873003124132033,0.09152923352341456,7.900911331176758,76.4542931681566
XR_SHOULDER,swin_t,vanilla_ft,100,0.27788911863076327,0.040341710747876326,5.648959159851074,85.48280301630696
XR_SHOULDER,swin_t,ft_source_reg,100,0.29967178830456775,0.04403057392706454,5.677094459533691,85.30706738322841
XR_SHOULDER,swin_t,mkmmd,100,0.2760779702007029,0.042517675705532006,5.169410705566406,84.59939571613681
XR_SHOULDER,swin_t,coral,100,0.26761185593545755,0.053254629113110956,5.962314128875732,80.100048659296
XR_SHOULDER,swin_t,cc_dann,100,0.5031888766568253,0.17122103096536803,10.02747917175293,65.97281082543867
XR_SHOULDER,swin_t,vanilla_ft,200,0.2749373659782681,0.05838714124466133,5.224117279052734,78.76347544215709
XR_SHOULDER,swin_t,ft_source_reg,200,0.23932822284224192,0.0701974387914207,4.934270858764648,70.66896751341659
XR_SHOULDER,swin_t,mkmmd,200,0.338849245654965,0.0618015922619225,7.157973289489746,81.76133101832185
XR_SHOULDER,swin_t,coral,200,0.3722496755804939,0.0934244039638851,8.58398151397705,74.90275745218659
XR_SHOULDER,swin_t,cc_dann,200,0.022318931074803088,0.02257121879719926,1.4689754247665405,-1.1303754716147258
XR_SHOULDER,swin_t,vanilla_ft,500,0.30714580453733775,0.08367327019757531,7.008130073547363,72.7578013563901
XR_SHOULDER,swin_t,ft_source_reg,500,0.2909593414879184,0.06339818345081745,6.5988874435424805,78.21063825391909
XR_SHOULDER,swin_t,mkmmd,500,0.3338405216777727,0.062170593289668334,7.713534355163574,81.3771578784926
XR_SHOULDER,swin_t,coral,500,0.3489678014023478,0.061808470193276795,8.179401397705078,82.28820253762788
XR_SHOULDER,swin_t,cc_dann,500,0.06825073965912813,0.025975591547747496,1.5000216960906982,61.94093766971592
