target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_HAND,zero-shot,0,0,0.7421074210742107,0.4603174603174603,0.9261992619926199,
XR_HAND,fine-tune,50,avg,0.6994474706651829,0.31216931216931215,0.9249692496924969,0.027000372721120873
XR_HAND,DANN,50,avg,0.5854630768529908,0.982363315696649,0.017220172201722016,0.03938067772863585
XR_HAND,MMD,50,avg,0.7341025791210293,0.36507936507936506,0.959409594095941,0.0051728358435757845
XR_HAND,fine-tune,100,avg,0.7023793253805554,0.400352733686067,0.894218942189422,0.011452218063574321
XR_HAND,DANN,100,avg,0.6326102943569117,0.236331569664903,0.8560885608856088,0.01735705680107484
XR_HAND,MMD,100,avg,0.7279525176204142,0.3527336860670194,0.96309963099631,0.0073440541566710035
XR_HAND,fine-tune,200,avg,0.7123788698204443,0.4268077601410935,0.8745387453874539,0.010901895327700702
XR_HAND,DANN,200,avg,0.5735957359573595,0.005291005291005291,0.9987699876998771,0.029162270515828335
XR_HAND,MMD,200,avg,0.7125610938649068,0.31216931216931215,0.9212792127921278,0.01919085915165697
XR_HAND,fine-tune,500,avg,0.7357718815283391,0.43033509700176364,0.9077490774907749,0.0367527449506653
XR_HAND,DANN,500,avg,0.6562864041338826,0.9417989417989417,0.10947109471094711,0.010494415399826434
XR_HAND,MMD,500,avg,0.6990895305778455,0.22045855379188709,0.968019680196802,0.03626205808388653
