target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_SHOULDER,zero-shot,0,0,0.5917139972232739,0.8992805755395683,0.12982456140350876,
XR_SHOULDER,fine-tune,50,avg,0.6704657326770164,0.5251798561151079,0.7403508771929824,0.012489608306954218
XR_SHOULDER,DANN,50,avg,0.603258445874879,0.3261390887290168,0.7263157894736842,0.014720278338012845
XR_SHOULDER,MMD,50,avg,0.5809731162438471,0.8321342925659473,0.21052631578947367,0.015576859383133027
XR_SHOULDER,fine-tune,100,avg,0.6774327906096177,0.4508393285371703,0.8315789473684211,0.009291129580178687
XR_SHOULDER,DANN,100,avg,0.5192919348731542,1.0,0.0023391812865497076,0.03123359822027739
XR_SHOULDER,MMD,100,avg,0.574845386848416,0.8297362110311751,0.20935672514619882,0.010096815961519073
XR_SHOULDER,fine-tune,200,avg,0.6965753712819218,0.6031175059952039,0.7157894736842105,0.001471384870820504
XR_SHOULDER,DANN,200,avg,0.5537506836635955,0.9940047961630696,0.004678362573099415,0.047717539339357636
XR_SHOULDER,MMD,200,avg,0.5893138121082081,0.8237410071942447,0.25029239766081873,0.0059101637282461825
XR_SHOULDER,fine-tune,500,avg,0.7242500736253102,0.5995203836930455,0.7532163742690058,0.013883894158074393
XR_SHOULDER,DANN,500,avg,0.6080440910429551,0.5155875299760192,0.5461988304093567,0.025425051293472233
XR_SHOULDER,MMD,500,avg,0.6097963734275738,0.7613908872901679,0.3508771929824561,0.007370275943008644
