anatomy,mean_auc,std_auc
XR_ELBOW,0.7469213691026827,0.026429219564582992
XR_FINGER,0.7486927239017745,0.062402227807090885
XR_HAND,0.7060934418867998,0.012684516154631476
XR_SHOULDER,0.5798220371071564,0.022266491925220868
XR_WRIST,0.8718532315142484,0.009942498458073594
