target,arch,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_ELBOW,resnet50,mkmmd,200,avg,0.7928029602220166,0.7608695652173912,0.6581560283687943,0.005263739609727724
XR_ELBOW,resnet50,coral,200,avg,0.7665618254702435,0.8028985507246377,0.5687943262411347,0.007948527624485925
XR_ELBOW,resnet50,cc_dann,200,avg,0.8216651248843664,0.7405797101449275,0.7730496453900709,0.031291719430458984
XR_ELBOW,resnet50,vanilla_ft,500,avg,0.8609959913660191,0.6985507246376811,0.8921985815602836,0.0062316742621918745
XR_ELBOW,resnet50,ft_source_reg,500,avg,0.8679648473635524,0.726086956521739,0.8808510638297872,0.0022753322101131458
XR_ELBOW,resnet50,mkmmd,500,avg,0.8001788467468395,0.7492753623188406,0.7134751773049647,0.017772430000632986
XR_ELBOW,resnet50,coral,500,avg,0.7774067221708295,0.8043478260869565,0.5929078014184398,0.006127332278365295
XR_ELBOW,resnet50,cc_dann,500,avg,0.8241073080481036,0.7695652173913045,0.7106382978723405,0.00699368358530653
XR_SHOULDER,resnet50,zero-shot,0,0,0.5427615802095166,0.4244604316546763,0.6631578947368421,
XR_SHOULDER,resnet50,vanilla_ft,50,avg,0.6517270394210947,0.473621103117506,0.7497076023391812,0.027675430816000393
XR_SHOULDER,resnet50,ft_source_reg,50,avg,0.6692982456140353,0.4808153477218225,0.7894736842105262,0.03506978282680014
XR_SHOULDER,resnet50,mkmmd,50,avg,0.5972422062350119,0.5251798561151079,0.6140350877192983,0.005148876209026721
XR_SHOULDER,resnet50,coral,50,avg,0.5868610374858009,0.48561151079136694,0.664327485380117,0.007680246841383596
XR_SHOULDER,resnet50,cc_dann,50,avg,0.6090285666203878,0.4880095923261391,0.6514619883040936,0.022258879391987434
XR_SHOULDER,resnet50,vanilla_ft,100,avg,0.7046888804745676,0.49760191846522783,0.7754385964912281,0.017058803039514916
XR_SHOULDER,resnet50,ft_source_reg,100,avg,0.7227565316168119,0.49760191846522783,0.8257309941520469,0.017112086403633216
XR_SHOULDER,resnet50,mkmmd,100,avg,0.5957697000294501,0.5107913669064749,0.6385964912280703,0.004788313428408666
XR_SHOULDER,resnet50,coral,100,avg,0.5674218519920905,0.33213429256594723,0.8058479532163743,0.007074798071207199
