anatomy,n_samples,threshold,n_pseudo,coverage_pct,n_frac_pseudo,n_norm_pseudo,overall_acc,prec_fracture,rec_fracture,prec_normal,rec_normal
XR_ELBOW,50,0.75,38,76.0,15,23,0.7105263157894737,0.6666666666666666,0.625,0.7391304347826086,0.7727272727272727
XR_ELBOW,50,0.75,35,70.0,17,18,0.7714285714285715,0.6470588235294118,0.8461538461538461,0.8888888888888888,0.7272727272727273
XR_ELBOW,50,0.75,34,68.0,17,17,0.6176470588235294,0.7058823529411765,0.6,0.5294117647058824,0.6428571428571429
XR_ELBOW,100,0.75,79,79.0,37,42,0.6962025316455697,0.6756756756756757,0.6756756756756757,0.7142857142857143,0.7142857142857143
XR_ELBOW,100,0.75,78,78.0,36,42,0.8076923076923077,0.6666666666666666,0.8888888888888888,0.9285714285714286,0.7647058823529411
XR_ELBOW,100,0.75,71,71.0,37,34,0.676056338028169,0.7027027027027027,0.6842105263157895,0.6470588235294118,0.6666666666666666
XR_ELBOW,200,0.75,150,75.0,71,79,0.7133333333333334,0.6619718309859155,0.7121212121212122,0.759493670886076,0.7142857142857143
XR_ELBOW,200,0.75,152,76.0,73,79,0.6842105263157895,0.5616438356164384,0.7192982456140351,0.7974683544303798,0.6631578947368421
XR_ELBOW,200,0.75,147,73.5,76,71,0.6190476190476191,0.5921052631578947,0.6428571428571429,0.647887323943662,0.5974025974025974
XR_ELBOW,500,0.75,388,77.6,175,213,0.729381443298969,0.6742857142857143,0.7108433734939759,0.7746478873239436,0.7432432432432432
XR_ELBOW,500,0.75,372,74.4,180,192,0.7016129032258065,0.6166666666666667,0.7254901960784313,0.78125,0.684931506849315
XR_ELBOW,500,0.75,378,75.6,186,192,0.7037037037037037,0.6344086021505376,0.7283950617283951,0.7708333333333334,0.6851851851851852
XR_SHOULDER,50,0.75,31,62.0,7,24,0.7096774193548387,0.7142857142857143,0.4166666666666667,0.7083333333333334,0.8947368421052632
XR_SHOULDER,50,0.75,33,66.0,11,22,0.5757575757575758,0.45454545454545453,0.38461538461538464,0.6363636363636364,0.7
XR_SHOULDER,50,0.75,36,72.0,11,25,0.5555555555555556,0.6363636363636364,0.3684210526315789,0.52,0.7647058823529411
XR_SHOULDER,100,0.75,65,65.0,17,48,0.5692307692307692,0.5882352941176471,0.3225806451612903,0.5625,0.7941176470588235
XR_SHOULDER,100,0.75,66,66.0,16,50,0.5606060606060606,0.4375,0.25925925925925924,0.6,0.7692307692307693
XR_SHOULDER,100,0.75,75,75.0,23,52,0.5866666666666667,0.5652173913043478,0.38235294117647056,0.5961538461538461,0.7560975609756098
XR_SHOULDER,200,0.75,132,66.0,34,98,0.5984848484848485,0.6470588235294118,0.3492063492063492,0.5816326530612245,0.8260869565217391
XR_SHOULDER,200,0.75,137,68.5,31,106,0.5693430656934306,0.6774193548387096,0.3,0.5377358490566038,0.8507462686567164
XR_SHOULDER,200,0.75,137,68.5,42,95,0.5109489051094891,0.5,0.31343283582089554,0.5157894736842106,0.7
XR_SHOULDER,500,0.75,332,66.4,97,235,0.5813253012048193,0.6185567010309279,0.37037037037037035,0.5659574468085107,0.7823529411764706
XR_SHOULDER,500,0.75,345,69.0,99,246,0.553623188405797,0.6060606060606061,0.34285714285714286,0.532520325203252,0.7705882352941177
XR_SHOULDER,500,0.75,334,66.8,101,233,0.5538922155688623,0.5742574257425742,0.35365853658536583,0.5450643776824035,0.7470588235294118
XR_HAND,50,0.75,45,90.0,5,40,0.8,0.8,0.3333333333333333,0.8,0.9696969696969697
XR_HAND,50,0.75,43,86.0,5,38,0.7441860465116279,0.6,0.25,0.7631578947368421,0.9354838709677419
XR_HAND,50,0.75,39,78.0,4,35,0.8461538461538461,0.25,0.25,0.9142857142857143,0.9142857142857143
XR_HAND,100,0.75,89,89.0,8,81,0.7528089887640449,0.625,0.20833333333333334,0.7654320987654321,0.9538461538461539
XR_HAND,100,0.75,86,86.0,9,77,0.7325581395348837,0.5555555555555556,0.20833333333333334,0.7532467532467533,0.9354838709677419
XR_HAND,100,0.75,84,84.0,8,76,0.8095238095238095,0.5,0.25,0.8421052631578947,0.9411764705882353
XR_HAND,200,0.75,179,89.5,15,164,0.7262569832402235,0.4666666666666667,0.14583333333333334,0.75,0.9389312977099237
XR_HAND,200,0.75,173,86.5,17,156,0.7398843930635838,0.5294117647058824,0.1956521739130435,0.7628205128205128,0.937007874015748
XR_HAND,200,0.75,172,86.0,21,151,0.7790697674418605,0.5238095238095238,0.28205128205128205,0.8145695364238411,0.924812030075188
XR_HAND,500,0.75,445,89.0,43,402,0.7280898876404495,0.4883720930232558,0.175,0.753731343283582,0.9323076923076923
XR_HAND,500,0.75,435,87.0,40,395,0.7310344827586207,0.55,0.18181818181818182,0.7493670886075949,0.9426751592356688
XR_HAND,500,0.75,435,87.0,53,382,0.735632183908046,0.4716981132075472,0.22321428571428573,0.7722513089005235,0.913312693498452
