target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_HAND,zero-shot,0,0,0.7069056404849762,0.31746031746031744,0.933579335793358,
XR_HAND,fine-tune,50,avg,0.732778200797881,0.39858906525573196,0.8745387453874538,0.012151298185741986
XR_HAND,DANN,50,avg,0.7199606916704088,0.41798941798941797,0.8966789667896679,0.014807354836521564
XR_HAND,MMD,50,avg,0.726771315332201,0.31216931216931215,0.9483394833948339,0.01695679202754051
XR_HAND,fine-tune,100,avg,0.7212395139824413,0.31040564373897706,0.9274292742927429,0.027192895167462244
XR_HAND,DANN,100,avg,0.7484429606200824,0.527336860670194,0.8130381303813038,0.018315167678043667
XR_HAND,MMD,100,avg,0.7214868180427837,0.3562610229276895,0.92619926199262,0.0076519833421316566
XR_HAND,fine-tune,200,avg,0.7476945404374679,0.42328042328042326,0.912669126691267,0.018872261482301703
XR_HAND,DANN,200,avg,0.7169279629304229,0.5784832451499118,0.7601476014760148,0.032622729155367146
XR_HAND,MMD,200,avg,0.7274221154909961,0.37918871252204583,0.9200492004920049,0.01031539089403046
XR_HAND,fine-tune,500,avg,0.7823594108956963,0.4603174603174603,0.9077490774907749,0.00819789042250085
XR_HAND,DANN,500,avg,0.6923374789303448,0.37213403880070545,0.8966789667896679,0.04848063982107322
XR_HAND,MMD,500,avg,0.730305160194459,0.39153439153439146,0.8966789667896679,0.012443539850316113
