arch,target,n_samples,dist_ratio,inter_dist,intra_dist,zero_shot_auc,best_method,best_auc,improvement_over_zs,auc_vanilla_ft,auc_ft_source_reg,auc_mkmmd,auc_coral,auc_cc_dann
densenet121,XR_ELBOW,50,0.29391605131903786,6.259030818939209,21.29530111714124,0.7867345050878816,vanilla_ft,0.8321554116558744,0.0454209065679928,0.8321554116558744,0.8297286463151403,0.8176133209990749,0.8085599753314833,0.8182207832254086
densenet121,XR_ELBOW,100,0.29391605131903786,6.259030818939209,21.29530111714124,0.7867345050878816,ft_source_reg,0.8371446191797718,0.050410114091890224,0.827977181621955,0.8371446191797718,0.8077304964539008,0.8182146160962073,0.8019457292630281
densenet121,XR_ELBOW,200,0.29391605131903786,6.259030818939209,21.29530111714124,0.7867345050878816,ft_source_reg,0.84300030835646,0.05626580326857844,0.84122725871107,0.84300030835646,0.8114893617021277,0.8219087264878199,0.7801079247610238
densenet121,XR_ELBOW,500,0.29391605131903786,6.259030818939209,21.29530111714124,0.7867345050878816,vanilla_ft,0.8782639531298181,0.09152944804193652,0.8782639531298181,0.8671384520505704,0.8216312056737589,0.8314986123959297,0.8506352143077397
densenet121,XR_SHOULDER,50,0.4337240430667794,10.491436004638672,24.189196259719665,0.6017291430013884,vanilla_ft,0.6665383482687534,0.064809205267365,0.6665383482687534,0.6641865455004418,0.6219150994993479,0.627609491354285,0.6133577348647398
densenet121,XR_SHOULDER,100,0.4337240430667794,10.491436004638672,24.189196259719665,0.6017291430013884,ft_source_reg,0.7191173377087804,0.11738819470739204,0.7095797046573269,0.7191173377087804,0.6259350414405317,0.59282679119862,0.5920063948840928
densenet121,XR_SHOULDER,200,0.4337240430667794,10.491436004638672,24.189196259719665,0.6017291430013884,ft_source_reg,0.7064432664394799,0.1047141234380915,0.7060435861836846,0.7064432664394799,0.6230447221170432,0.6028671799402583,0.5754827716773949
densenet121,XR_SHOULDER,500,0.4337240430667794,10.491436004638672,24.189196259719665,0.6017291430013884,vanilla_ft,0.7691552021540663,0.16742605915267794,0.7691552021540663,0.7585594682149018,0.6250178804324963,0.6045837014598847,0.6327043628255291
densenet121,XR_HAND,50,0.3659878542692738,8.389677047729492,22.923375588024154,0.7069056404849762,cc_dann,0.7507044911718959,0.04379885068691969,0.732778200797881,0.7305427022524195,0.7260261491503804,0.7063687303539702,0.7507044911718959
densenet121,XR_HAND,100,0.3659878542692738,8.389677047729492,22.923375588024154,0.7069056404849762,mkmmd,0.7418861490202202,0.03498050853524404,0.7340765471146775,0.7223784142603331,0.7418861490202202,0.7176731291122436,0.7380008720722128
