target,arch,method,n_samples,ece_post_da,ece_post_da_after_ts,post_da_temperature,ece_reduction_pct
XR_HAND,swin_t,vanilla_ft,50,0.2899598064629928,0.06708936509878739,5.429348468780518,76.86252935634033
XR_HAND,swin_t,ft_source_reg,50,0.291992575318917,0.0640101082946943,5.790861129760742,78.07817262997804
XR_HAND,swin_t,mkmmd,50,0.2152398281771204,0.05006568574387092,3.9295928478240967,76.73958106737012
XR_HAND,swin_t,coral,50,0.19249290538870767,0.05422138468078945,2.7611753940582275,71.83200878427269
XR_HAND,swin_t,cc_dann,50,0.517724943290586,0.18965859983278358,11.083385467529297,63.36691861370625
XR_HAND,swin_t,vanilla_ft,100,0.3073876914770707,0.05198363402615425,6.450209140777588,83.08857658666794
XR_HAND,swin_t,ft_source_reg,100,0.3028184438529221,0.0613410165776377,6.925423622131348,79.74330235729273
XR_HAND,swin_t,mkmmd,100,0.2229484825030617,0.05287162246911422,3.474867582321167,76.28527367599905
XR_HAND,swin_t,coral,100,0.27257043693376626,0.07466430988000787,4.52616548538208,72.607333825366
XR_HAND,swin_t,cc_dann,100,0.5658085969479187,0.19497507318206458,10.781517028808594,65.54045409811764
XR_HAND,swin_t,vanilla_ft,200,0.26377853569777115,0.05736326316128607,6.912352561950684,78.25324831319443
XR_HAND,swin_t,ft_source_reg,200,0.2820523880098177,0.07535662456699041,6.573962211608887,73.28275605155756
XR_HAND,swin_t,mkmmd,200,0.27066285649071575,0.04018425086270208,5.45938777923584,85.15339290225792
XR_HAND,swin_t,coral,200,0.2317260030819022,0.044822072464486835,4.556343078613281,80.65729703686092
XR_HAND,swin_t,cc_dann,200,0.3728917305884154,0.059024637289669196,6.226266860961914,84.17110586053234
XR_HAND,swin_t,vanilla_ft,500,0.1859014715837396,0.05924054267613784,3.001796007156372,68.13336539433855
XR_HAND,swin_t,ft_source_reg,500,0.25246648347896083,0.09518079887265746,5.388291835784912,62.29962981181647
XR_HAND,swin_t,mkmmd,500,0.28724483834660575,0.05034508614436439,7.226536750793457,82.4731102448514
XR_HAND,swin_t,coral,500,0.2893740998662036,0.059674953377765176,6.986148834228516,79.37792172645833
XR_HAND,swin_t,cc_dann,500,0.11368582818819128,0.0516592051671899,2.072190999984741,54.55967908183316
