target,method,n_samples,run,auc,sensitivity,specificity,auc_std
XR_HAND,zero-shot,0,0,0.6559089400417812,0.291005291005291,0.9040590405904059,
XR_HAND,fine-tune,50,avg,0.673981660451525,0.27336860670194,0.9249692496924968,0.025088270574601997
XR_HAND,DANN,50,avg,0.664008148017988,0.4091710758377425,0.8105781057810578,0.010457021025412067
XR_HAND,MMD,50,avg,0.6289593054660706,0.30511463844797176,0.8339483394833948,0.0027447877646031146
XR_HAND,fine-tune,100,avg,0.6497393545364024,0.22045855379188714,0.937269372693727,0.013945869184626277
XR_HAND,DANN,100,avg,0.661844237489994,0.38271604938271603,0.8585485854858548,0.01881820534927435
XR_HAND,MMD,100,avg,0.6333391905347625,0.32804232804232797,0.8462484624846248,0.01775946408726601
XR_HAND,fine-tune,200,avg,0.692874389061351,0.21164021164021163,0.974169741697417,0.011038798549699762
XR_HAND,DANN,200,avg,0.6639137819949626,0.4074074074074074,0.8290282902829028,0.026858502841812546
XR_HAND,MMD,200,avg,0.6758722349128252,0.3950617283950617,0.8265682656826568,0.017014261882258283
XR_HAND,fine-tune,500,avg,0.7381635721119116,0.345679012345679,0.933579335793358,0.007936069654926598
XR_HAND,DANN,500,avg,0.66811795102078,0.4338624338624339,0.8093480934809348,0.029433110458776463
XR_HAND,MMD,500,avg,0.6710725837417105,0.37566137566137564,0.865928659286593,0.016584073068044897
