seed,auc,sensitivity,specificity
zero-shot,0.7867345050878816,0.7782608695652173,0.548936170212766
42,0.8158926919518963,,
123,0.8332284921369104,,
456,0.8269287696577243,,
789,0.7903237742830712,,
2024,0.8226641998149862,,
