arch,anatomy,zero_shot_auc,temperature,gap_ratio,dist_ratio
densenet121,XR_ELBOW,0.782527289546716,3.501021146774292,2.134531260624736,0.29391605131903786
densenet121,XR_HAND,0.7015502059782504,4.63215446472168,1.3984296741593314,0.3659878542692738
densenet121,XR_SHOULDER,0.5871058942319828,6.653773784637451,1.451985881222991,0.4337240430667794
densenet121,XR_FINGER,0.7538253433728102,4.435825347900391,1.6718530722027498,0.24235337711717278
densenet121,XR_FOREARM,0.8137704194260487,4.555410385131836,1.4877398372552622,0.25611540814171585
densenet121,XR_HUMERUS,0.7894932432432432,4.015186786651611,2.1817801757830977,0.3557554120072025
resnet50,XR_ELBOW,0.7766327474560593,3.7383008003234863,1.7439863437515863,0.29739925614085017
resnet50,XR_HAND,0.6763017630176301,5.186522960662842,1.479905889987677,0.37218596440440244
resnet50,XR_SHOULDER,0.5958853969456015,8.169180870056152,1.0280417287173549,0.36148586115075737
resnet50,XR_FINGER,0.68246812213856,6.771818161010742,1.0210102076563927,0.2505828787793459
resnet50,XR_FOREARM,0.8015099337748344,3.5123648643493652,2.5508716836121597,0.2707151825107213
resnet50,XR_HUMERUS,0.8007191119691118,3.374631881713867,1.9077065226268004,0.3475919021958357
swin_t,XR_ELBOW,0.8253746530989824,2.799656629562378,1.8494205548404257,0.3098072326850636
swin_t,XR_HAND,0.7408481227669419,2.9347217082977295,1.6556145214595401,0.33140478137417895
swin_t,XR_SHOULDER,0.5943455761706423,9.021241188049316,1.1476137093404246,0.466063909527272
swin_t,XR_FINGER,0.7926236331302736,2.703035593032837,1.5063092681894301,0.22654991997073545
swin_t,XR_FOREARM,0.8605386313465783,2.0041356086730957,2.6021144544732824,0.18759416700954107
swin_t,XR_HUMERUS,0.7825048262548263,4.264768123626709,1.5658015920264634,0.320718541217152
